parent_asin,train_count,scenario
B00XHTYL88,16,warm
B0C782F545,21,popular
B0BJQPQZRL,1,cold
B01LNDARMS,11,warm
B083S91WV7,12,warm
B088PRZVRW,10,warm
B09CHCKHYG,3,cold
B07C56PMMK,74,popular
B08MZFKQG1,16,warm
B08X4PNTNV,25,popular
B000PIXBGM,15,warm
B0BY2TM1RR,10,warm
B07NVCD4TW,41,popular
B00Y29H436,15,warm
B08JVL22V2,25,popular
B077T3L1WZ,8,warm
B0C2TJKYC2,137,popular
B087BC4DJH,50,popular
B07RJM3N9T,29,popular
B0002HMRF2,61,popular
B08KRR4B8Q,1,cold
B07DX2Y2KV,7,warm
B09NBS9DS6,9,warm
B0B2X2B9GY,20,warm
B00X74UAG0,6,warm
B08GC55LC8,13,warm
B07JQ84X43,7,warm
B07VFDC4HS,55,popular
B00CUEEP5U,15,warm
B07SQBFN2D,276,popular
B09PTDJP37,4,cold
B009T6YJOY,16,warm
B07CB22VVJ,569,popular
B01C4NF8ZC,4,cold
B09SN7TZ99,242,popular
B08BRMR8JC,188,popular
B00DU0X4WI,364,popular
B082FSPKJJ,3,cold
B09N159NCZ,24,popular
B013UHP8CO,31,popular
B018Q6AAIQ,50,popular
B0824BQNK2,147,popular
B07MYD3HCN,15,warm
B00K4PAOYS,3,cold
B012WF7ORW,809,popular
B01EHYUDIS,10,warm
B099RFYZFQ,1,cold
B09RRSC9XF,9,warm
B084HKB1H1,10,warm
B07XC3CW4G,63,popular
B00IASYN66,4,cold
B073YDNT33,22,popular
B09B6V112L,11,warm
B09CCP71WJ,4,cold
B07MDFSQ8J,20,warm
B082NVNJ9S,10,warm
B01MT7MP5K,41,popular
B07DCJFXJ4,7,warm
B08BWZ4HLG,6,warm
B071ZDXSGK,28,popular
B00V0K0X7Y,157,popular
B0BR5D1PY5,52,popular
B0C73B66HC,99,popular
B084SJGL86,996,popular
B08GQ8NC56,18,warm
B01FXDVIHC,5,warm
B0BVL3MJY2,8,warm
B00305GHF4,1076,popular
B072J2SVVJ,101,popular
B003IYS8SQ,89,popular
B08GH5Q1ZZ,76,popular
B0BRS8Q3P4,16,warm
B08NK14BQY,3,cold
B00ZQ5LVRK,14,warm
B075Y6SRMG,25,popular
B0149OP3P4,24,popular
B0BYHC1398,0,new
B00R4QZUNA,136,popular
B004DEJHQ2,19,warm
B09Y5MBG6Y,9,warm
B016V1782Y,17,warm
B00H9862GM,124,popular
B01GA71R1M,81,popular
B01N6BXH1X,6,warm
B0825ZK4SF,8,warm
B0B9BY9L11,11,warm
B08FSND2BR,83,popular
B07NL8XMLP,4,cold
B082LVYRKN,22,popular
B0C4T9BHWX,241,popular
B08V1H7FVX,19,warm
B0B4CCBP5Y,7,warm
B0BS3H6F3S,9,warm
B09MW63YCV,33,popular
B016LFMM5S,22,popular
B0748KYTZN,858,popular
B000FOLQPE,5,warm
B01D6MZ0YO,225,popular
B08XY18KF9,10,warm
B07FY6KQNK,299,popular
B017YFKQJI,188,popular
B09PXCMJKL,13,warm
B07LCH74H9,25,popular
B01M2BIW94,46,popular
B001RJH7VI,8,warm
B0973HJC7X,15,warm
B09ZXGMZS1,3,cold
B0746KXJ26,55,popular
B07Y4KMLWF,29,popular
B088NMVW4Y,433,popular
B0C366WN8J,10,warm
B079TP95Q6,274,popular
B0C4T2HF5W,745,popular
B01N4S6NC4,4,cold
B092LPX2YF,3,cold
B01HSHTCA6,4,cold
B07K1LLDG6,459,popular
B01A31ZQ4U,69,popular
B008EMB1EA,28,popular
B0007QKN6S,226,popular
B09PR8WQ3X,33,popular
B09M6M8ZS9,17,warm
B08GZP4RFL,11,warm
B08HYX3LNH,22,popular
B0B9MVPK6B,5,warm
B08BPJ1G7X,5,warm
B08F54F4RY,70,popular
B0B2DD1SC2,1033,popular
B0054JGGGY,211,popular
B07GVY9TQD,26,popular
B0BX36ZX9B,125,popular
B09BCRSPPS,4,cold
B07KBW2S1G,10,warm
B079H5Z4S8,74,popular
B075KG6J7Q,22,popular
B009KZ34ZE,4,cold
B07HP42DT6,5,warm
B09F5WF32Y,7,warm
B01N9HRN8L,73,popular
B07NWH47PV,5,warm
B089M73SSX,17,warm
B08Y5GP9FF,7,warm
B072KDNW3F,71,popular
B006VCOZYI,16,warm
B07ZR5HYXH,8,warm
B08VDMW5T2,3,cold
B08YLGYPM3,94,popular
B09H6XMN4Z,0,new
B00TTOKAQC,18,warm
B07VYRTH3Z,46,popular
B07842ZX63,4,cold
B09V9H9MVQ,193,popular
B09R1NJ5G5,3,cold
B08PD2C4QZ,3,cold
B07DFFQX84,13,warm
B0161IOIUC,3,cold
B0C5XGRW48,6,warm
B0149M98AC,4,cold
B0BMVQ3G88,1,cold
B08MJNQQ83,47,popular
B096TFTWBD,57,popular
B014FBJMVW,725,popular
B0C5JNP4N1,2,cold
B0BLYZC4TM,125,popular
B0BTXTM83Z,85,popular
B076V6YCCJ,23,popular
B07CS23V1F,2,cold
B0BL78N7W9,311,popular
B00CF4G7JC,388,popular
B09SCSKV1R,14,warm
B07GWJXZ8Y,38,popular
B075RS3NQL,85,popular
B07WLT77K8,466,popular
B094N2S9G9,48,popular
B01EYCTVUE,23,popular
B0B2VN4PKH,8,warm
B0BSYSGYTK,5,warm
B07WQW6H9S,56,popular
B00RNQ0ERI,22,popular
B09Z6M8NK5,62,popular
B00H7PBWK8,678,popular
B081G1F4Y2,6,warm
B0BG5711QC,20,warm
B08XYYC5QR,11,warm
B076DYSJ53,11,warm
B074DSMNJ3,64,popular
B087BSC44V,16,warm
B07QJVJ3XS,20,warm
B09MT4CHND,23,popular
B00CB7TWW2,104,popular
B07VMKVZ73,4,cold
B0C4PK6MPH,88,popular
B09V4DY61T,4,cold
B0043GT9Y0,88,popular
B08ZNBS786,2,cold
B07CPSBXWL,43,popular
B01D16916S,7,warm
B09TWBCFHD,30,popular
B01LXC8L9W,115,popular
B0C9JFFH6R,10,warm
B0BCR6GN75,280,popular
B07F7DR541,47,popular
B0BNVR5WRR,3,cold
B08DV853CV,2,cold
B099DT728G,3,cold
B089S9RLSG,9,warm
B00QGOQ2BA,159,popular
B0BVRMPN3H,91,popular
B0877Z8L82,9,warm
B0BRPRQJ1D,40,popular
B09Q7ZHQ3K,18,warm
B0834XXHZV,47,popular
B07MY4KWFP,134,popular
B010G60DXG,12,warm
B008RKEIZ8,1340,popular
B08JCG1PND,20,warm
B08HJ56WP8,14,warm
B0BM9KHSWZ,14,warm
B096MFS66S,25,popular
B08P1P3VFB,5,warm
B08PQK647M,5,warm
B09CS9X5F5,39,popular
B0834BZ1LQ,38,popular
B005QRA5IY,247,popular
B00KIWWUFI,86,popular
B0BDM76GVM,40,popular
B00JLIYGM0,10,warm
B0745BK9Q7,7,warm
B09BHL6M6S,1,cold
B0BP476D2Q,4,cold
B08KY6RWNS,58,popular
B00WUFW7DG,130,popular
B07M6P2QB3,20,warm
B081B3YHZM,51,popular
B09YXJ3G54,1,cold
B07CH1F832,34,popular
B0B9CDHWNZ,47,popular
B09VXYRRT8,58,popular
B005JRAZC2,42,popular
B0BKSVXWPX,86,popular
B00K2E4WNU,20,warm
B07DVLQKMQ,24,popular
B08WZ42V7Y,2,cold
B075JRF295,18,warm
B0C89TTBQP,9,warm
B0BTY4V59H,126,popular
B0C3R2WCKX,138,popular
B07G7GSM29,31,popular
B01MXJ9XAF,25,popular
B07797JBDW,83,popular
B00D1FY5ZW,54,popular
B00LSYBGBO,4,cold
B084WMFLJS,7,warm
B074FVTGFT,13,warm
B09837KT6B,11,warm
B0861FF8BS,129,popular
B0C5XYG14P,31,popular
B07D52PMP8,49,popular
B07P5BS59S,24,popular
B0002F8578,85,popular
B075S3RRDH,54,popular
B07BQRNH7Z,17,warm
B07XKQBFST,10,warm
B0B9R5NYGF,1,cold
B0BYZGCC6J,13,warm
B0039648BO,78,popular
B081PJQRYS,16,warm
B099HLCVTZ,3,cold
B07CHLZJHC,178,popular
B0853DDT69,25,popular
B013JGKE0C,25,popular
B00C2CRDJU,51,popular
B0BVT394ZH,210,popular
B006FS655K,28,popular
B0C7W9ZPJZ,2,cold
B00LWRSM0A,99,popular
B08D6KFR59,14,warm
B094D9K4LW,4,cold
B002GYWHUO,315,popular
B00MRWHM2S,50,popular
B07P9SVLKM,20,warm
B0BX6XN4X2,1,cold
B08YY6PMW4,7,warm
B09MHCCV8P,4,cold
B005NHIQ06,272,popular
B0BJ517NSM,468,popular
B099878WPR,5,warm
B097XY2SV1,2,cold
B0BX3VK1Z6,126,popular
B09PBYNHWF,11,warm
B0B6FP5BZ4,36,popular
B0BWQ8WCQP,47,popular
B082D8LQW5,48,popular
B0BDDWTTZT,63,popular
B00BP54M26,8,warm
B0C8X7J4PN,7,warm
B07C32C7ZT,22,popular
B09PTCFDJY,8,warm
B09R75H8Q1,7,warm
B07YL6332F,112,popular
B092VVNMCB,5,warm
B003QWXGVY,44,popular
B00ZR7VWJ4,4,cold
B083SCPFQK,189,popular
B07Q474C34,49,popular
B07ZMGF781,6,warm
B08GXDTK2R,56,popular
B093BV684J,165,popular
B08CCY38M6,21,popular
B0C1N9N4H4,27,popular
B08T1NZMPN,5,warm
B07YWSPBVZ,10,warm
B08Z625149,54,popular
B01HV6VP54,36,popular
B01MFHXOS5,28,popular
B07TS9N4RM,32,popular
B096VXKBGT,41,popular
B08SC58L8L,8,warm
B071F6XZMV,18,warm
B098RHY8Z9,3,cold
B00XHU5CAI,171,popular
B00I4Y9NZW,42,popular
B01DOINFJ2,41,popular
B01HH16BMK,8,warm
B0928JLS5T,2,cold
B08WC79MG4,7,warm
B08131PLHZ,40,popular
B014UMFNIM,165,popular
B0126KXDN2,177,popular
B09Y2QZJ11,15,warm
B06Y575N3G,24,popular
B09ZTKM39C,11,warm
B08SFG899Z,145,popular
B076QBK79M,155,popular
B01L2WR7H8,48,popular
B01N0PYSGA,7,warm
B09M6RKB17,18,warm
B09QLZHDZ6,17,warm
B08HQGSGYW,4,cold
B08L8Y6WQ3,4,cold
B0144RAR52,10,warm
B07GM2J11Q,344,popular
B08N1RHYTB,23,popular
B07B7B3LGJ,47,popular
B00KKRBS2C,26,popular
B0BG9S1H6S,22,popular
B0B724PK33,473,popular
B018S34AWO,28,popular
B0B1V13H8V,40,popular
B071R44STJ,70,popular
B07L913BK9,491,popular
B00KM1QZRY,166,popular
B004EBX5GW,388,popular
B083WH983V,17,warm
B09MWMJ2C7,10,warm
B086JHY1SD,342,popular
B081Q77VF2,26,popular
B06XQ3ZQ56,13,warm
B0C468F1DQ,5,warm
B06XYCTRP9,25,popular
B003U8GI0A,5,warm
B0BNK3Y2YP,3,cold
B001P3O3MC,19,warm
B0785H9PS8,12,warm
B00MN98ATE,252,popular
B07DLGVJMQ,351,popular
B01L6W1ZYK,74,popular
B00NZ6HBGC,23,popular
B007ZREFCA,103,popular
B013EP1F4M,19,warm
B07CWQGX93,141,popular
B07NS41PTT,3,cold
B01M1EALXA,57,popular
B008IT11B2,62,popular
B0C6XKX2YC,4,cold
B01BT1OARM,5,warm
B09SD4YTPD,3,cold
B09WJ7NWT6,8,warm
B07CR2R6ZT,118,popular
B0BSK363WC,361,popular
B0BR6JWP1Q,1,cold
B073QX1ZMS,719,popular
B006BGTP8U,29,popular
B08FQW4JDJ,6,warm
B0BXNLMB4J,185,popular
B08LP1R2WZ,53,popular
B088TSF2F4,6,warm
B01JZ8ZID6,792,popular
B01D5V684W,12,warm
B07VD5T5HM,11,warm
B0BHSHLB2B,34,popular
B00AJHDZSI,5232,popular
B008I649AU,205,popular
B000F4GI8O,4,cold
B0085W30DO,44,popular
B001HK4LWA,79,popular
B075VHFHBH,12,warm
B07VY7TWXB,5,warm
B0BL2SLSJ8,27,popular
B08CRC5FB7,2,cold
B077ZV8FKD,192,popular
B09WXXQLQN,19,warm
B00WUWVO88,107,popular
B06XQFB45D,9,warm
B07HVC4D1P,8,warm
B0BBMK6GZB,75,popular
B075KQ8KNL,31,popular
B005Y4NKE0,20,warm
B08HT4672R,25,popular
B07GVJB3XS,32,popular
B0C7TWNDLN,0,new
B00VVZZB6Q,17,warm
B09H4ZHXZ5,31,popular
B004CZYXE8,10,warm
B06XPHBPV3,237,popular
B003FZBLUK,39,popular
B07CHY5VQ4,455,popular
B00J585ORC,33,popular
B01N3NCTS9,40,popular
B00U4EA2VY,44,popular
B01LW1Q4X9,196,popular
B07S1Z5Z8Q,40,popular
B0799Q52RR,28,popular
B08HVTCS25,9,warm
B082VXTPPB,124,popular
B008I649KA,141,popular
B07T5BG7YK,15,warm
B08T9HR2L6,4,cold
B07ZCVCSMS,10,warm
B07HFKC2LS,48,popular
B00A8M768E,45,popular
B09XT8WXMN,315,popular
B000FCFYT0,24,popular
B0C9P7J1PP,19,warm
B015HSS44I,38,popular
B0B9XLX9RY,30,popular
B01E4R4R76,47,popular
B097SXMZSL,3,cold
B07KGKLMV2,148,popular
B0C2M4V6KQ,5,warm
B07VHNFVZW,6,warm
B09LVMZMP2,4,cold
B071XYBPMN,40,popular
B07KFZZ515,18,warm
B09YHJYBCR,5,warm
B0085H66NU,86,popular
B07DXQQJ84,3,cold
B0B3RDQ5LP,0,new
B00KH57F1K,8,warm
B0BMB6K3HR,11,warm
B09YV5KWGZ,4,cold
B0CDLVKXF7,549,popular
B08VJBX52T,10,warm
B09ZXZC3ZG,222,popular
B0C6TMHWTZ,9,warm
B0014175NE,82,popular
B07ZY6M3TJ,234,popular
B095WY5XD7,5,warm
B08BHVNNWG,3,cold
B00FGSKYKM,22,popular
B0BB2XKFH8,4,cold
B09XHXZ157,12,warm
B07W9BQR1K,15,warm
B01MY1WDIU,207,popular
B00YPATOEE,364,popular
B07FB9YQJ1,5,warm
B092Q42M47,3,cold
B093C68DN1,263,popular
B08VXT9HGV,72,popular
B07GSRG1CX,143,popular
B084P81PVQ,50,popular
B07YYZGMPF,44,popular
B01H2VPJKK,5,warm
B0895GL5NL,4,cold
B002K3Z3E8,290,popular
B071D4WYB9,23,popular
B0C1BY2QP3,20,warm
B019C477PU,1,cold
B003CJTR8M,681,popular
B09JZM5KPX,2,cold
B004OVECU0,3725,popular
B017SPRYJO,18,warm
B003I8G82U,23,popular
B0BXKXG9MY,9,warm
B0924LQH75,8,warm
B0012BL8LG,458,popular
B00BEZZBFO,331,popular
B000P0R6LQ,225,popular
B095GFWZCK,4,cold
B094N8JNLZ,17,warm
B07VSVNLB6,49,popular
B08B48TV7J,27,popular
B00TE8XKIS,289,popular
B08KGBW3K3,3,cold
B0979RTHN1,41,popular
B077T6JB31,563,popular
B093TGNBVH,34,popular
B000086EYG,156,popular
B09XDWSZD5,15,warm
B081TFP1VM,46,popular
B0767DXJST,9,warm
B0B8T8XQBJ,76,popular
B093DG6ZDW,6,warm
B000MXWSY6,646,popular
B00GNSM52E,402,popular
B00U14INHC,1291,popular
B09HKZFXRP,2,cold
B082MRV78Z,27,popular
B01MS2VVCX,28,popular
B07ZRZCLJ5,171,popular
B0C65KGL8Y,42,popular
B09T9BYZVK,7,warm
B0CF5H1ZYX,31,popular
B07D57VH81,3,cold
B0BQY97M3B,17,warm
B08HKSYKGZ,9,warm
B08MXTYJ2Y,7,warm
B0751DMWFV,7,warm
B08JYKHL72,23,popular
B08H5PLV1H,17,warm
B09Q366LZ1,28,popular
B09BZ85QTN,25,popular
B099JDJN47,4,cold
B07NV7DXMX,177,popular
B08JFTP4N2,12,warm
B09RTF6TLQ,38,popular
B0C3QNP7VV,3,cold
B0C62KMCTL,43,popular
B07DC93QBT,171,popular
B0BZQT4D19,28,popular
B00ZL519Z4,39,popular
B08L6BWRW4,33,popular
B09P3GTQJ1,65,popular
B07YDF1WQ7,40,popular
B01JPEKJYI,227,popular
B09NL64CHX,225,popular
B0BW9F1RHV,5,warm
B0BJJQQWKV,34,popular
B0142FO130,371,popular
B07MKBGH2V,257,popular
B00FEY212W,102,popular
B09QKWXKJ4,209,popular
B08QGXLWFY,113,popular
B07T2451BH,847,popular
B088PV8PY3,4,cold
B00UWO7AP2,176,popular
B07SGD4TB4,189,popular
B09PBMCCBW,20,warm
B093LG4YT4,26,popular
B08DTXL79W,2,cold
B09WYTX4LD,3,cold
B08KCQTGTT,396,popular
B0B4CJ52DL,74,popular
B0BTBG7MF2,15,warm
B06Y42787G,3,cold
B0B2CNY9Z6,44,popular
B07VQT9PPG,87,popular
B01GPRLAWS,16,warm
B07PGD1XNP,1,cold
B08T77LZ2Q,2,cold
B00SLFLOPQ,5,warm
B0BRB3WGMK,94,popular
B00N9UMGGO,8,warm
B09H4K3WBT,14,warm
B0BV65LLLF,1,cold
B09GJXWNZY,53,popular
B07X1KV23K,12,warm
B01MXEX7HI,32,popular
B0BV9PZ629,12,warm
B0C6FJFRJG,2601,popular
B08SVWY51V,2,cold
B0BRKPKZHR,3,cold
B08V4WX6D7,8,warm
B07XZMCMF7,51,popular
B0936ZSKJ2,9,warm
B074JZZYJG,21,popular
B084B89M32,71,popular
B09JSVQWVF,3,cold
B0B8TZ9YDH,13,warm
B07TDJ2MH5,115,popular
B00R10DWWK,270,popular
B09VDBGBP1,8,warm
B09J2P3DS9,7,warm
B075RZDNTT,25,popular
B08JCGJNQ8,50,popular
B0B14ZZ4KB,14,warm
B00X7YH3CO,100,popular
B085F2Z9P2,8,warm
B08MPVBF89,2,cold
B0869CM495,21,popular
B07J6SDCBD,188,popular
B00RBG7W52,220,popular
B07GB3SGSF,1561,popular
B098D2D4H9,6,warm
B08L5M9BTJ,967,popular
B0BWJ4MWZY,33,popular
B09LVS1CWT,120,popular
B07F6XV6ZB,37,popular
B09J4LYL34,4,cold
B07SS23V87,4,cold
B09P29VXG1,203,popular
B0BPX2S4KC,120,popular
B07KGK48RK,22,popular
B07CRD232T,382,popular
B071936R2S,79,popular
B07KPVZ1Y4,64,popular
B08L7LF1KF,35,popular
B075L5Y5TG,8,warm
B0BFK11KQ6,3,cold
B09P9Y5H5P,48,popular
B009DSTZJ2,8,warm
B0773Q6FXR,43,popular
B09YQ8XV8X,209,popular
B09Y915P63,103,popular
B09KXGQJLL,10,warm
B0BXYGD4GG,1056,popular
B01E0YSXW8,41,popular
B0045TYDNC,420,popular
B07FW44MW8,284,popular
B00TJ0PGDS,214,popular
B01N7P7LTN,18,warm
B01J4HCBZG,138,popular
B00001W0H1,24,popular
B004FGWY54,104,popular
B09DKNMLTH,3,cold
B0BPNKWQHF,14,warm
B01EKNQITO,5,warm
B007OWY6P2,50,popular
B06X9J8NG4,262,popular
B08L7CTHGM,17,warm
B08HQT9222,11,warm
B07DMHHBJ7,229,popular
B09P3PMWR6,18,warm
B07TXFBSD5,43,popular
B00GA996BO,11,warm
B075R9B87Z,87,popular
B0BX7G1DR7,301,popular
B094HVRJVG,53,popular
B079FKTHQJ,258,popular
B07M6QD7M5,11,warm
B07P6YX6WH,7,warm
B00WUIS0SO,41,popular
B016P9DTGG,5,warm
B09D3BZSH5,8,warm
B087WF9FFY,13,warm
B07B8LG1Z8,32,popular
B0BRNGX439,2,cold
B00474TGLO,3,cold
B079JWDXCW,50,popular
B0BWDZ1TRP,6,warm
B072LNSWT5,54,popular
B08CZK8CMN,6,warm
B09H2NZNZZ,2,cold
B00L1Y11D4,628,popular
B00NS3MRKC,227,popular
B07J5S2CZ5,8,warm
B08C9XD6W7,13,warm
B08HHB9B3W,7,warm
B07PPL1M2T,23,popular
B00I9BRK4G,5,warm
B07L5FPT5T,14,warm
B08GGWYRH5,47,popular
B07F9MFVKS,3,cold
B0BP12GCJ2,5,warm
B013CCTM2E,1139,popular
B07DV76SP9,0,new
B0C5XK6534,65,popular
B09ZV4R5JX,3,cold
B0C9J2V9Q4,2,cold
B07GY4J3K8,30,popular
B09HBNQ4G6,3,cold
B07GMCS6FR,4,cold
B07XQBP9TZ,4,cold
B06XYHKHQV,9,warm
B01CO52KFG,39,popular
B08MBWPF19,27,popular
B08P77B8ZQ,17,warm
B0CD1L7PZB,8,warm
B08J7FTB77,8,warm
B000JQ17WK,51,popular
B079QH5KW1,266,popular
B08BHVHF8N,148,popular
B07R7PM2Y3,3,cold
B0BRQ8XZ9G,6,warm
B07GWN7R93,50,popular
B00WTXBYA6,71,popular
B09QC7MCBB,29,popular
B01MY3DLSE,72,popular
B08KFS6THF,58,popular
B09ZYC84B8,5,warm
B09DFYCPWF,8,warm
B08JTBMF3L,41,popular
B00PKLOA7I,77,popular
B00MA2HNLU,66,popular
B07MTZ2F6B,6,warm
B01EHFCA60,6,warm
B0153WK39M,29,popular
B098NTPP4P,6,warm
B0718YNC1W,57,popular
B0829FCS3F,271,popular
B0BVBB5DD6,15,warm
B07BDGPDKS,133,popular
B09XHTVV3T,12,warm
B073QLQLCW,3,cold
B08PZ72FNB,7,warm
B07VK9WYX5,63,popular
B082R5VX6F,40,popular
B00009RUCH,99,popular
B07MZN6B8N,43,popular
B016PW4NX6,120,popular
B0BRM3QFRR,30,popular
B0797LCJWL,1,cold
B085WTFKPL,13,warm
B074X7M592,3,cold
B0C23GTG5V,7,warm
B00WUIB22U,299,popular
B0B5HJPSM9,4,cold
B0BVZBW3MM,63,popular
B08Y3Z74BH,3,cold
B09GDCRB4W,49,popular
B08ZCBGGGL,7,warm
B07H4CTWG2,7,warm
B07QWRX1KQ,42,popular
B07BB4QFY2,29,popular
B07C29V8PY,3,cold
B0BPL62BM2,7,warm
B06XDSMDKV,280,popular
B07M5GFPQN,363,popular
B07X8LBW2H,9,warm
B017TZTMBG,61,popular
B07N824KNV,83,popular
B00009UTZA,129,popular
B01NH011A2,5,warm
B09CTPLVTM,78,popular
B0CBH9KJRV,42,popular
B07CQMZVZ6,2192,popular
B09WDF1DD8,3,cold
B084JNN2JN,5,warm
B0BFJ1TFNV,1,cold
B088KHX5YW,2,cold
B01HMNJHII,44,popular
B07QG5PXFQ,5,warm
B00FY2RDEU,50,popular
B09Z8CJ29Q,28,popular
B071QY55YZ,30,popular
B07J2Q68N4,5,warm
B006Y3IDYC,16,warm
B077GWVHHN,132,popular
B0BCL7DVJ3,5,warm
B09WKV7YT2,4,cold
B072L81WX8,58,popular
B07SPJ4RY1,30,popular
B08FD2412C,12,warm
B073B5G7HV,4,cold
B0BNPNL81M,7,warm
B0876W5XPQ,6,warm
B09TR2J2PX,2,cold
B07D9G78GD,16,warm
B09JVXPTR4,43,popular
B01N3M2RMZ,6,warm
B09X61NK2T,191,popular
B08J2JWQ42,23,popular
B0B87TXL8X,3,cold
B00XHT22NE,9,warm
B01MRVTV09,84,popular
B098HS1NDV,625,popular
B0B31TQV5T,2,cold
B0BKQB5X6L,11,warm
B01BTD80TY,19,warm
B08RC2XRMN,21,popular
B08BJM6LCG,907,popular
B0BNNG2M2N,58,popular
B06XTQY5JN,12,warm
B07RLWDZBZ,245,popular
B01I33N124,57,popular
B08RDGKT9Z,132,popular
B099MNQYVJ,28,popular
B07W11XBX6,57,popular
B06ZYJ6HZK,18,warm
B072JW7PWX,159,popular
B07TVWV3C9,73,popular
B0BRN1TNFZ,6,warm
B0BW3TMDLL,13,warm
B09XQQJHMT,242,popular
B00WUFUARG,85,popular
B07SYLM7LJ,17,warm
B0B9RJ97S5,1,cold
B07S1SSG66,9,warm
B086TMWGXY,34,popular
B00U80FUHA,37,popular
B07SPS3NCR,3,cold
B07DVH5NWJ,17,warm
B018R1XOBK,28,popular
B07S8XNWWF,187,popular
B0058FJHR4,14,warm
B07X9YC983,21,popular
B09224PDYQ,2,cold
B09P87YLGP,6,warm
B007IWVTZ8,23,popular
B0C2BV9PB1,156,popular
B07BF9W3RS,2,cold
B0823Z9MZ3,4,cold
B00XHUK3TI,24,popular
B0B14Y81HH,3,cold
B07D5GDBGZ,4,cold
B01GGSL2M4,9,warm
B00Z7STPYM,106,popular
B003NRHAH8,95,popular
B077XPVVFS,6,warm
B015DR9JCY,446,popular
B00M806D92,13,warm
B07CSNFG7Z,2,cold
B01MT27A0S,52,popular
B07S36JB67,69,popular
B095HHWKMR,4,cold
B07GSRNM2C,71,popular
B09N37RWP8,35,popular
B01LYBUD92,35,popular
B01MG9C1W5,3,cold
B099ZPPVRN,11,warm
B01BCWKBZI,509,popular
B01DKGH94A,14,warm
B071XMD949,6,warm
B0B5322G97,14,warm
B000VB3JS8,7,warm
B0096DQUEM,7,warm
B07HWQXCXH,5,warm
B08BV43RF7,119,popular
B01FZ60GE8,81,popular
B014PVA3L0,25,popular
B08KZZCLH1,16,warm
B004O0TRD8,181,popular
B07KY6D9VG,35,popular
B09V1SQB5Y,22,popular
B003N7O3EG,11,warm
B00KCLIFUE,13,warm
B08YJDHWMW,31,popular
B074WX654Z,1387,popular
B08R9J6B3B,3,cold
B09CPP7VHS,7,warm
B074V6J5XG,22,popular
B07YWDKW3H,27,popular
B001GKPOJK,61,popular
B0C7BJ9GBG,76,popular
B08N6HJ3FB,1432,popular
B08G5SP42L,100,popular
B09R5T4LTB,68,popular
B07JGDVS8X,222,popular
B075FDK62X,3,cold
B0BGG3VNWW,17,warm
B08P583TT2,5,warm
B0BKZ2SX5H,13,warm
B07J67K33R,10,warm
B076KRTXQ6,39,popular
B07MKT7FBK,5,warm
B09VF7W7TS,28,popular
B0C7W2S2YC,10,warm
B000GFJMS0,77,popular
B00AA9Q8FW,423,popular
B099PQ7PTJ,16,warm
B08MLC22RN,29,popular
B09TPFQ6X6,39,popular
B0872D9J9B,11,warm
B005HH32Q0,50,popular
B009CIYRZ0,6,warm
B01AAWRWDK,203,popular
B0B53HJPD9,15,warm
B0B31CKVQ5,18,warm
B083953BC4,19,warm
B01EKE92XW,31,popular
B09738HF58,26,popular
B08R5DTHKM,3,cold
B00C30FCUI,402,popular
B09TPGLQCD,3,cold
B0719QY9TH,7,warm
B0BC78N85F,50,popular
B016XIU1HE,88,popular
B084KZD1P2,2,cold
B09JKTHNHG,5,warm
B00HQ9HGH8,7,warm
B087DY7KVS,362,popular
B077T43KXY,19,warm
B0983VYC6V,25,popular
B07MDMY1LM,10,warm
B071GSGDS4,287,popular
B009H0MTLW,5,warm
B07M84MZFW,14,warm
B0C242MSKC,44,popular
B00LHK2GS6,18,warm
B09CLJ667Q,13,warm
B08CS4W193,8,warm
B08JGPCR5Y,16,warm
B00HE9G3UQ,409,popular
B08GQ2VHQ6,13,warm
B08GJZZM5Y,7,warm
B088LXXWFL,101,popular
B0774TF8WY,119,popular
B01EIZKX3G,49,popular
B097M9MNLD,90,popular
B09FF94SGL,5,warm
B0BWF4HVM9,8,warm
B078MFLSHG,1,cold
B08XZ2WSSN,79,popular
B0BP7VMRRW,1,cold
B09WMBGPRV,44,popular
B09WWK1YNB,0,new
B08V1F3TFB,25,popular
B0899JTNLB,10,warm
B0BNSZDFWX,6,warm
B0BM5X8WH9,12,warm
B073RGBLGG,10,warm
B08F9XB69R,2,cold
B073XKC5GG,6,warm
B01820GW06,23,popular
B0823PLZNR,4,cold
B085352SJY,5,warm
B01E6CEUDK,26,popular
B01HIB1N2M,9,warm
B00DWFQ42I,33,popular
B09LYVKN74,322,popular
B0C37DN7SM,79,popular
B08YLXC3RR,55,popular
B0C32KPPV9,4,cold
B07SL5GFR8,26,popular
B08BS133D6,25,popular
B07JCGZP6F,28,popular
B076LM88JT,17,warm
B07TVSL89D,33,popular
B07YYZGM51,28,popular
B0894SCXHB,30,popular
B07KVH9X54,51,popular
B07CW5XMY4,15,warm
B01251KZUQ,615,popular
B0B4PW231T,1,cold
B079GPFLT1,338,popular
B07ZRD6C9T,13,warm
B07FCHFB85,8,warm
B09X9YTFGL,6,warm
B07F73MF9M,93,popular
B09GLQPQFF,1,cold
B085FT99L1,19,warm
B0BGZ78V4B,3,cold
B08N59C43Q,4,cold
B0BG27Y7DY,189,popular
B00XJC0Y48,165,popular
B08DK8BP1J,148,popular
B078GQRWYV,102,popular
B07G25WT35,10,warm
